statement_id,source_id,locator,evidence_role
fuxi-textual-image-patterns-to-trigrams,src-zhouyi-xicixia-ctext,《周易·系辞下》第二章，包牺氏作八卦段,primary
shennong-textual-image-empirical-benefit,src-huainanzi-xiuwu-ctext,《淮南子·修务训》神农教民播种、尝百草段,primary
huangdi-medical-tradition-regulated-life,src-huangdi-neijing-shanggutianzhen-ctext,《黄帝内经素问·上古天真论》第一节，黄帝问、岐伯答段,primary
yao-textual-image-virtue-expands-to-all-under-heaven,src-shangshu-yushu-ctext,《尚书·虞书·尧典》开篇“克明俊德”段,primary
shun-textual-image-balanced-character-music-education,src-shangshu-yushu-ctext,《尚书·虞书·舜典》第十六节，命夔典乐段,primary
yu-textual-image-good-government-nourishes-people,src-shangshu-yushu-ctext,《尚书·虞书·大禹谟》第六节，禹曰“德惟善政”段,primary
king-wen-textual-tradition-qian-constancy,src-zhouyi-qian-ctext,《周易》经文，乾卦卦辞,primary
duke-zhou-textual-image-bright-virtue-cautious-punishment,src-shangshu-zhoushu-ctext,《尚书·周书·康诰》“惟乃丕显考文王”段,primary
guan-zhong-material-security-moral-order,src-guanzi-mumin-ctext,《管子·牧民》第一节,primary
laozi-language-dao,ctext-laozi,Dao De Jing 1 / 《道德经》第一章,primary
laozi-wuwei-transformation,ctext-laozi,Dao De Jing 37 / 《道德经》第三十七章,primary
laozi-model-naturalness,ctext-laozi,Dao De Jing 25 / 《道德经》第二十五章,primary
laozi-reversal-dao,ctext-laozi,Dao De Jing 40 / 《道德经》第四十章,primary
laozi-softness-overcomes,ctext-laozi,Dao De Jing 43 / 《道德经》第四十三章,primary
laozi-contentment,ctext-laozi,Dao De Jing 44 / 《道德经》第四十四章,primary
yan-ying-harmony-not-sameness,src-yanzichunqiu-he-wikisource,卷七“景公谓梁丘据与己和晏子谏”第五,primary
confucius-ren-ritual,ctext-analects,Analects 12.1 / 《论语·颜渊》,primary
confucius-reciprocity,ctext-analects,Analects 15.24 / 《论语·卫灵公》,primary
confucius-rule-virtue,ctext-analects,Analects 2.1 / 《论语·为政》,primary
confucius-rectification-names,ctext-analects,Analects 13.3 / 《论语·子路》,primary
confucius-superior-person,ctext-analects,Analects 4.16 / 《论语·里仁》,primary
confucius-harmony-difference,ctext-analects,Analects 13.23 / 《论语·子路》,primary
sunzi-victory-before-battle,src-sunzi-junxing-ctext,《孙子兵法·军形》第四篇，胜兵先胜段,primary
yan-hui-learning-culture-ritual,src-analects-zihan-ctext,《论语·子罕》9.11，颜渊喟然叹章,primary
zengzi-confucian-way-zhong-shu,src-analects-liren-ctext,《论语·里仁》4.15,primary
mozi-inclusive-care,ctext-mozi,Mozi: Universal Love II / 《墨子·兼爱中》,primary
mozi-care-order,ctext-mozi,Mozi: Universal Love I / 《墨子·兼爱上》,primary
mozi-merit-office,ctext-mozi,Mozi: Exaltation of the Virtuous / 《墨子·尚贤》,primary
mozi-condemn-offensive-war,ctext-mozi,Mozi: Condemnation of Offensive War / 《墨子·非攻》,primary
mozi-will-heaven,ctext-mozi,Mozi: Will of Heaven / 《墨子·天志》,primary
mozi-frugality,ctext-mozi,Mozi: Frugality / 《墨子·节用》,primary
zisi-sincerity-heaven-human-way,src-liji-zhongyong-ctext,《礼记·中庸》第二十章，论诚段,primary
liezi-ceaseless-generation-transformation,src-liezi-tianrui-ctext,《列子·天瑞》“生者不能不生”段,primary
yang-zhu-for-self-no-hair-for-world,src-mengzi-jinxin-i-yangzhu-ctext,《孟子·尽心上》第二十六章,primary
shang-yang-law-trust-authority,src-shangjunshu-xiuquan-ctext,《群书治要》卷三十六《商君子·修权》开篇,primary
shen-buhai-technique-name-performance,src-hanfeizi-dingfa-ctext,《韩非子·定法》，比较申不害之术与商鞅之法段,primary
sun-bin-war-neither-delight-nor-profit,src-sunbin-jianweiwang-ctext,银雀山汉简《孙膑兵法·见威王》开篇,primary
mencius-moral-sprouts,ctext-mengzi,Mengzi 2A.6 / 《孟子·公孙丑上》,primary
mencius-nature-good,ctext-mengzi,Mengzi 6A.2 / 《孟子·告子上》,primary
mencius-people-priority,ctext-mengzi,Mengzi 7B.14 / 《孟子·尽心下》,primary
mencius-kingly-way,ctext-mengzi,Mengzi 1A / 《孟子·梁惠王上》,primary
mencius-rightness-profit,ctext-mengzi,Mengzi 1A.1 / 《孟子·梁惠王上》,primary
mencius-flood-like-qi,ctext-mengzi,Mengzi 2A.2 / 《孟子·公孙丑上》,primary
hui-shi-great-one-small-one,src-zhuangzi-tianxia-ctext,《庄子·天下》“惠施多方”后所列历物十事第一条,primary
zhuangzi-perspectives,ctext-zhuangzi,Zhuangzi 2 / 《庄子·齐物论》,primary
zhuangzi-no-fixed-self,ctext-zhuangzi,Zhuangzi 1 / 《庄子·逍遥游》,primary
zhuangzi-ten-thousand-one,ctext-zhuangzi,Zhuangzi 2 / 《庄子·齐物论》,primary
zhuangzi-free-easy-wandering,ctext-zhuangzi,Zhuangzi 1 / 《庄子·逍遥游》,primary
zhuangzi-skill-cultivation,ctext-zhuangzi,Zhuangzi 3 / 《庄子·养生主》,primary
zhuangzi-life-death,ctext-zhuangzi,Zhuangzi 2 / 《庄子·齐物论》,primary
gaozi-life-is-nature,src-mengzi-gaozi-i-ctext,《孟子·告子上》第一章,primary
xu-xing-ruler-shares-labor,src-mengzi-tengwengong-i-ctext,《孟子·滕文公上》第四章，陈相转述许行之言,primary
shen-dao-follow-necessity,src-zhuangzi-tianxia-ctext,《庄子·天下》慎到、彭蒙、田骈论述段,primary
zou-yan-five-virtues-historical-succession,src-shiji-mengzi-xunqing-ctext,《史记·孟子荀卿列传》邹衍传，述五德转移段,primary
gongsun-long-white-horse-not-horse,src-gongsunlongzi-baimajun-ctext,《公孙龙子·白马论》开篇及“求马”“求白马”论证段,primary
xunzi-nature-transformation,ctext-xunzi,Xunzi 23 / 《荀子·性恶》,primary
xunzi-ritual-order,ctext-xunzi,Xunzi 19 / 《荀子·礼论》,primary
xunzi-heaven-constant,ctext-xunzi,Xunzi 17 / 《荀子·天论》,primary
xunzi-encouragement-learning,ctext-xunzi,Xunzi 1 / 《荀子·劝学》,primary
xunzi-rectification-names,ctext-xunzi,Xunzi 22 / 《荀子·正名》,primary
xunzi-rightness-profit,ctext-xunzi,Xunzi 2 / 《荀子·荣辱》,primary
han-fei-two-handles,src-hanfeizi-erbing-ctext,《韩非子·二柄》开篇,primary
lu-buwei-law-must-change-with-times,src-lvshi-chunqiu-chajin-ctext,《吕氏春秋·慎大览·察今》“世易时移”段,primary
li-si-state-strength-through-inclusion,src-jianzhukeshu-ctext,《谏逐客书》第四、第五段,primary
dong-zhongshu-heaven-warns-ruler,src-hanshu-dongzhongshu-ctext,《汉书·董仲舒传》所录天人三策第三策，论灾异谴告段,primary
liu-an-dao-encompasses-cosmos,src-huainanzi-yuandao-ctext,《淮南子·原道训》开篇,primary
liu-an-qi-differentiates-cosmos,src-huainanzi-tianwen-ctext,《淮南子·天文训》开篇,primary
dong-zhongshu-five-phases-governance,src-chunqiu-fanlu-wuxing,《春秋繁露·五行相生》第五十八,primary
sima-tan-six-schools-shared-governance,src-shiji-taishigongzixu-ctext,《史记·太史公自序》所录《论六家要旨》开篇,primary
sima-qian-death-value-by-purpose,src-hanshu-simaqian-ctext,《汉书·司马迁传》所录《报任安书》“人固有一死”段,primary
yang-xiong-nature-mixed-cultivation,src-yangzi-fayan-xiushen-ctext,《扬子法言·修身卷第三》“人之性也善恶混”章,primary
huan-tan-spirit-dependent-on-body,src-hongmingji-xinlun-xingshen-ctext,《弘明集》卷五《新论形神》，火烛譬喻段,primary
wang-chong-spontaneous-generation,src-lunheng-ziran-ctext,《论衡·自然》“天地合气”段,primary
wang-chong-dead-lack-awareness,src-lunheng-lunshi-ctext,《论衡·论死》开篇及人死不为鬼段,primary
ban-zhao-educate-women,src-banzhao-nvjie,〈夫婦第二〉末段,primary
wang-fu-people-ground-state,src-wangfu-qianfulun,卷五〈愛日第十八〉开篇,primary
