relation_id,locale,note
density-c-00610bfe343d51,en,"The evidenced claims by Liezi and Ma Yifu both address Heaven, cosmos & metaphysics: the former emphasizes “Generation and transformation are not occasional events b…”, the latter “The Six Arts are not isolated disciplines but an internal…”. This marks cross-period conceptual similarity only, not historical influence."
density-c-00610bfe343d51,zh-CN,列子与马一浮的两条已取证观点都涉及“天道与形上”：前者强调“生成与变化不是偶发事件，而是万物无时不在进行的持续过程。”，后者强调“六艺不是彼此孤立的知识门类，而是内在互释的义理整体；其分类、会通与解释共同构成理解经典和组织学术的循环。”。此线只表示跨时期主题相似，不主张历史影响。
density-c-0d0a6331cf1572,en,"The evidenced claims by Huiyuan and Bai Tongdong both address Politics & governance, Ethics & self-cultivation: the former emphasizes “Renunciants seek transcendence of life-and-death and worl…”, the latter “A preferable regime can combine democratic accountability…”. This marks cross-period conceptual similarity only, not historical influence."
density-c-0d0a6331cf1572,zh-CN,慧远与白彤东的两条已取证观点都涉及“政治与治理、伦理与修养”：前者强调“出家者以超越生死和世俗秩序为志，属于“方外之宾”；因此可以不履行臣民向君王跪拜的同一礼制，同时仍以教化和德行利益社…”，后者强调“较好的政体可以结合民主问责与机会平等、儒家贤能政治以及准自由主义的法律和权利保障，而不把政治平等视为唯一最高原则。”。此线只表示跨时期主题相似，不主张历史影响。
density-c-0e72e2e6172e3f,en,"The evidenced claims by Sun Bin and Ruan Ji both address Ethics & self-cultivation, Politics & governance: the former emphasizes “Because warfare bears on a state's survival, it must be e…”, the latter “The highest person is not confined by conventional ranks,…”. This marks cross-period conceptual similarity only, not historical influence."
density-c-0e72e2e6172e3f,zh-CN,孙膑与阮籍的两条已取证观点都涉及“伦理与修养、政治与治理”：前者强调“战争关系国家存亡，必须审慎考察；好战会亡国，把取胜当作私利也会受辱，因此只能准备充分后行动。”，后者强调“最高的人格不以世俗名分、功名和礼法束缚自身，而与天地同体、随自然变化，在不役于外物中获得自由。”。此线只表示跨时期主题相似，不主张历史影响。
density-c-11c7fab7ee1e4b,en,"The evidenced claims by Dushun and Wang Daiyu both address Religion & transcendence, Heaven, cosmos & metaphysics: the former emphasizes “Form is not first existent and later annihilated into emp…”, the latter “The Real One transcends being and nonbeing, location, and…”. This marks cross-period conceptual similarity only, not historical influence."
density-c-11c7fab7ee1e4b,zh-CN,杜顺与王岱舆的两条已取证观点都涉及“宗教与超越、天道与形上”：前者强调“色并非先存在而后被消灭为空；色当体无自性，所以即空，而真空也只能在不碍色相显现中被理解。”，后者强调“真一的真主超越空有、方所与形象，不是天地万物中的一个对象，却是万有存在与秩序的根源。”。此线只表示跨时期主题相似，不主张历史影响。
density-c-15e7a0559152da,en,"The evidenced claims by Duke of Zhou and Zheng Xuan both address Ritual, law & institutions, Ethics & self-cultivation: the former emphasizes “The transmitted Kang Gao depicts the Duke of Zhou as an a…”, the latter “Ritual is analogous to the structure of a body: only when…”. This marks cross-period conceptual similarity only, not historical influence."
density-c-15e7a0559152da,zh-CN,周公与郑玄的两条已取证观点都涉及“礼法与制度、伦理与修养”：前者强调“《康诰》的传统传承把周公塑造成以文王“明德慎罚”为治理准则的训诫者：彰明德政，同时谨慎使用刑罚并照顾鳏寡。”，后者强调“礼如同人的身体结构：只有各项礼节相互配合而完备，人才能成为伦理意义上完整的人。”。此线只表示跨时期主题相似，不主张历史影响。
density-c-1a74df3d684b0d,en,"The evidenced claims by Sunzi and Sengzhao both address Knowledge & method: the former emphasizes “The skillful force first creates conditions sufficient fo…”, the latter “Dependently arisen things are not truly existent because …”. This marks cross-period conceptual similarity only, not historical influence."
density-c-1a74df3d684b0d,zh-CN,孙子与僧肇的两条已取证观点都涉及“知识与方法”：前者强调“善战者先创造足以取胜的条件，然后才寻求交战；失败者则先开战，再企求在战斗中侥幸取胜。”，后者强调“缘起之物并非实有，因为它没有独立自性；但它也不是断灭的虚无，因为现象依缘显现。因此真空必须同时超越“实有”和“绝无…”。此线只表示跨时期主题相似，不主张历史影响。
density-c-1cf1399f7f05f2,en,"The evidenced claims by Wang Fu and Kang Youwei both address Society & world order, Politics & governance: the former emphasizes “A state is grounded in its people, and the people's lives…”, the latter “The Great Unity should transcend mutually exclusive natio…”. This marks cross-period conceptual similarity only, not historical influence."
density-c-1cf1399f7f05f2,zh-CN,王符与康有为的两条已取证观点都涉及“社会与天下、政治与治理”：前者强调“国家以人民为根本，人民以粮食维持生命；政务若不断侵夺农时，便会同时摧毁民生与国家的根基。”，后者强调“大同秩序应超越彼此排他的国家边界，因为国家区隔持续制造私心、竞争与战争；世界公政府取代列国后，天下才可能趋于公。”。此线只表示跨时期主题相似，不主张历史影响。
density-c-24e4f60a152f28,en,"The evidenced claims by Zisi and Zhang Shi both address Ethics & self-cultivation: the former emphasizes “Sincerity is Heaven's way of undeceived reality, while br…”, the latter “Righteousness is what the original mind recognizes as fit…”. This marks cross-period conceptual similarity only, not historical influence."
density-c-24e4f60a152f28,zh-CN,子思与张栻的两条已取证观点都涉及“伦理与修养”：前者强调“诚是真实无妄的天道，而努力使自身达到诚则是人的道路。”，后者强调“义是本心认为应当做而自然不能停止的事；若因外在收益才行动，就已经落入私利。”。此线只表示跨时期主题相似，不主张历史影响。
density-c-29a76d9ea9d752,en,"The evidenced claims by Ye Shi and Robin R. Wang both address Heaven, cosmos & metaphysics, Nature, science & technology: the former emphasizes “Although the Way originates in unity, it is concretely re…”, the latter “Yinyang is not a pair of fixed mutually exclusive substan…”. This marks cross-period conceptual similarity only, not historical influence."
density-c-29a76d9ea9d752,zh-CN,叶适与王蓉蓉的两条已取证观点都涉及“天道与形上、自然与技艺”：前者强调“道虽本于一，却只能在阴阳、刚柔、逆顺等相待的两端中具体实现；执着一端便不能理解变化。”，后者强调“阴阳不是两个固定且互斥的实体，而是包含相依、互含、交感、互补和转化的关系范式，其互动具有生成新事物的效力。”。此线只表示跨时期主题相似，不主张历史影响。
density-c-2b10b73e3b4477,en,"The evidenced claims by Li Si and He Zhen both address Society & world order, Politics & governance: the former emphasizes “A ruler's strength comes from admitting people and talent…”, the latter “Women's subjugation cannot be attributed only to old cust…”. This marks cross-period conceptual similarity only, not historical influence."
density-c-2b10b73e3b4477,zh-CN,李斯与何震的两条已取证观点都涉及“社会与天下、政治与治理”：前者强调“王者的强大来自接纳不同地域的人民与人才；排斥外来者会削弱本国并资助敌国。”，后者强调“妇女受压迫不能仅归因于旧礼教，也必须与父权、资本主义劳动关系和帝国主义权力一并分析；因此解放不能缩减为少数女性获得…”。此线只表示跨时期主题相似，不主张历史影响。
density-c-2d05e834874b05,en,"The evidenced claims by Gongsun Long and Xuanzang both address Names, logic & language: the former emphasizes “'White horse' and 'horse' impose different nominal condit…”, the latter “Under ultimate analysis, commonly accepted visible form i…”. This marks cross-period conceptual similarity only, not historical influence."
