excerpt_id,person_id,source_id,locator,source_language,excerpt_text,retrieved_at,extraction_status,extractor,reviewer
ex-ai-siqi-philosophy-popular-language,ai-siqi,atlantis-ai-siqi-popular-philosophy-2017,"publisher abstract, sentences 1–3",en,"plain, vivid and popular language",2026-07-17,locator-reviewed,modern-expansion-agent-2026-07-17,modern-expansion-agent-2026-07-17
ex-ai-siqi-philosophy-worldview-practical,ai-siqi,src-ai-siqi-dazhong-zhexue-fudan-study,PDF第3—4页，讨论艾思奇《大众哲学》“哲学就是关于世界观的学问”定义段,zh-Hans-modern,哲学就是关于世界观的学问。,2026-07-17,locator-reviewed,codex-zen-modern-source-review,codex-zen-modern-source-review
ex-modern-rel-mao-ai-dialectics-popularization-1,ai-siqi,mia-mao-on-contradiction-expansion,introductory note and section 4,zh-Hans-modern,以扫除教条主义思想为主要的目标,2026-07-17,locator-reviewed,modern-expansion-agent-2026-07-17,modern-expansion-agent-2026-07-17
ex-bai-tongdong-confucian-hybrid-regime,bai-tongdong,bai-tongdong-against-equality-2019,"Against Political Equality, book abstract and chap. 3 “A Confucian Hybrid Regime”",en,Confucian-inspired meritocratic characteristics combined with democratic elements and a quasi-liberal system of laws and rights,2026-07-17,locator-reviewed,codex-primary-source-pass,codex-primary-source-pass
ex-density-negative-08-bai-tongdong-confucian-hybrid-regime-sun-yat-sen-popular-sovereignty-1,bai-tongdong,sunyatsen-sanmin-primary,《三民主义》‘民权主义’开篇,zh-Hans-modern,民权者，民众之主权也。,2026-07-17,locator-reviewed,codex-negative-density-2026-07-17,codex-negative-density-2026-07-17
ex-modern-density-bai-jiang-meritocratic-legitimacy-1,bai-tongdong,sep-modern-confucianism-expansion-2023,"section 5 opening, paragraph 5",zh-Hans-modern,Confucian meritocracy (Bai 2020; Bell 2015; Jiang 2012),2026-07-17,locator-reviewed,modern-expansion-agent-2026-07-17,modern-expansion-agent-2026-07-17
ex-ban-zhao-educate-women,ban-zhao,src-banzhao-nvjie,〈夫婦第二〉末段,zh-Latn-classical,夫婦之道，參配陰陽，通達神明，信天地之弘義，人倫之大節也……但教男而不教女，不亦蔽於彼此之數乎？,2026-07-17,locator-reviewed,codex-medieval-source-review-2,codex-medieval-source-review-2
ex-rel-ban-zhao-hanyu-ethical-order-1,ban-zhao,src-hanyu-yuandao,《原道》开篇,zh-Hans-modern,博爱之谓仁，行而宜之之谓义。,2026-07-17,locator-reviewed,codex-han-tang-expansion-2026-07-17,codex-han-tang-expansion-2026-07-17
ex-ultimate-qh-cc-09-banzhao-education-aisiqi-popular-1,ban-zhao,src-banzhao-nvjie,〈夫婦第二〉末段,zh-Hans-modern,夫婦之道，參配陰陽，通達神明，信天地之弘義，人倫之大節也……但教男而不教女，不亦蔽於彼此之數乎？,2026-07-17,locator-reviewed,codex-ultimate-relation-coverage-2026-07-17,codex-ultimate-relation-coverage-2026-07-17
ex-ultimate-qh-cc-10-banzhao-education-chenlai-values-1,ban-zhao,src-banzhao-nvjie,〈夫婦第二〉末段,zh-Hans-modern,夫婦之道，參配陰陽，通達神明，信天地之弘義，人倫之大節也……但教男而不教女，不亦蔽於彼此之數乎？,2026-07-17,locator-reviewed,codex-ultimate-relation-coverage-2026-07-17,codex-ultimate-relation-coverage-2026-07-17
ex-ultimate-qh-lq-03-banzhao-education-hezhen-gender-1,ban-zhao,src-banzhao-nvjie,〈夫婦第二〉末段,zh-Hans-modern,夫婦之道，參配陰陽，通達神明，信天地之弘義，人倫之大節也……但教男而不教女，不亦蔽於彼此之數乎？,2026-07-17,locator-reviewed,codex-ultimate-relation-coverage-2026-07-17,codex-ultimate-relation-coverage-2026-07-17
ex-bodhidharma-two-entrances-practice,bodhidharma,src-bodhidharma-two-entrances-critical-study,PDF第141页，《二入四行论》本文开篇“夫入道多途”至“四行”目录,zh-Latn-early-chan,夫入道多途，要而言之，不出二種：一是理入，二是行入。……行入者，所謂四行。,2026-07-17,locator-reviewed,codex-zen-modern-source-review,codex-zen-modern-source-review
ex-rel-bodhidharma-shenxiu-practice-lineage-1,bodhidharma,src-bodhidharma-two-entrances-critical-study,敦煌本《二入四行论长卷子》二入总纲及行入段，研究本PDF第141页,zh-Hans-modern,夫入道多途，要而言之，不出二种：一是理入，二是行入。,2026-07-17,locator-reviewed,codex-han-tang-expansion-2026-07-17,codex-han-tang-expansion-2026-07-17
