person_id,kind,local_path,wikidata_id,source_url,file_title,author,license,license_url,review_status,match_method,notes
fuxi,sourced-image,/portraits-finalized-v1/fuxi.webp,Q236972,https://commons.wikimedia.org/wiki/File:Ma-Lin-Fuxi-and-turtle.jpg,Ma-Lin-Fuxi-and-turtle.jpg,Ma Lin,Public domain,,reviewed-head-crop,zhwiki-exact-title-or-redirect,Exact Chinese Wikipedia title or redirect with Wikidata P18; requires final visual identity review. Head-and-shoulders crop visually reviewed for circular display. Head-and-shoulders crop visually reviewed for circular display. Head-and-shoulders crop visually reviewed for circular display.
shennong,sourced-image,/portraits-finalized-v1/shennong.webp,Q313336,https://commons.wikimedia.org/wiki/File:Shennong3.jpg,Shennong3.jpg,Li Ung Bing,Public domain,,reviewed-head-crop,zhwiki-exact-title-or-redirect,Exact Chinese Wikipedia title or redirect with Wikidata P18; requires final visual identity review. Head-and-shoulders crop visually reviewed for circular display. Head-and-shoulders crop visually reviewed for circular display. Head-and-shoulders crop visually reviewed for circular display.
huangdi,sourced-image,/portraits-finalized-v1/huangdi.webp,Q29201,https://commons.wikimedia.org/wiki/File:Yellow_Emperor.jpg,Yellow Emperor.jpg,,Public domain,,reviewed-head-crop,zhwiki-exact-title-or-redirect,Exact Chinese Wikipedia title or redirect with Wikidata P18; requires final visual identity review. Head-and-shoulders crop visually reviewed for circular display. Head-and-shoulders crop visually reviewed for circular display. Head-and-shoulders crop visually reviewed for circular display.
yao,sourced-image,/portraits-finalized-v1/yao.webp,Q819556,https://commons.wikimedia.org/wiki/File:Ma_Lin_-_Emperor_Yao.jpg,Ma Lin - Emperor Yao.jpg,Ma Lin,Public domain,,reviewed-head-crop,zhwiki-exact-title-or-redirect,Exact Chinese Wikipedia title or redirect with Wikidata P18; requires final visual identity review. Head-and-shoulders crop visually reviewed for circular display. Head-and-shoulders crop visually reviewed for circular display. Head-and-shoulders crop visually reviewed for circular display.
shun,generated-illustration,/portraits-generated-v1/shun.webp,,,AI interpretive portrait of shun,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
yu-the-great,sourced-image,/portraits-finalized-v1/yu-the-great.webp,Q627784,https://commons.wikimedia.org/wiki/File:King_Yu_of_Xia.jpg,King Yu of Xia.jpg,Ma Lin,Public domain,,reviewed-head-crop,zhwiki-exact-title-or-redirect,Exact Chinese Wikipedia title or redirect with Wikidata P18; requires final visual identity review. Head-and-shoulders crop visually reviewed for circular display. Head-and-shoulders crop visually reviewed for circular display. Head-and-shoulders crop visually reviewed for circular display.
king-wen-zhou,sourced-image,/portraits-finalized-v1/king-wen-zhou.webp,Q698909,https://commons.wikimedia.org/wiki/File:King_Wen_of_Zhou_(cropped).jpg,King Wen of Zhou (cropped).jpg,Unknown author Unknown author,Public domain,,reviewed-head-crop,zhwiki-exact-title-or-redirect,Exact Chinese Wikipedia title or redirect with Wikidata P18; requires final visual identity review. Head-and-shoulders crop visually reviewed for circular display. Head-and-shoulders crop visually reviewed for circular display. Head-and-shoulders crop visually reviewed for circular display.
duke-zhou,generated-illustration,/portraits-generated-v1/duke-zhou.webp,,,AI interpretive portrait of duke-zhou,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
guan-zhong,generated-illustration,/portraits-generated-v1/guan-zhong.webp,,,AI interpretive portrait of guan-zhong,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
laozi,generated-illustration,/portraits-generated-v1/laozi.webp,,,AI interpretive portrait of laozi,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
yan-ying,generated-illustration,/portraits-generated-v1/yan-ying.webp,,,AI interpretive portrait of yan-ying,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
confucius,generated-illustration,/portraits-generated-v1/confucius.webp,,,AI interpretive portrait of confucius,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
sunzi,generated-illustration,/portraits-generated-v1/sunzi.webp,,,AI interpretive portrait of sunzi,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
yan-hui,sourced-image,/portraits-finalized-v1/yan-hui.webp,Q1155960,https://commons.wikimedia.org/wiki/File:Half_Portraits_of_the_Great_Sage_and_Virtuous_Men_of_Old_-_Yan_Hui_Ziyuan_(%E9%A1%8F%E5%9B%9E_%E5%AD%90%E6%B7%B5).jpg,Half Portraits of the Great Sage and Virtuous Men of Old - Yan Hui Ziyuan (顏回 子淵).jpg,anonymous,Public domain,,reviewed-head-crop,zhwiki-exact-title-or-redirect,Exact Chinese Wikipedia title or redirect with Wikidata P18; requires final visual identity review. Head-and-shoulders crop visually reviewed for circular display. Head-and-shoulders crop visually reviewed for circular display. Head-and-shoulders crop visually reviewed for circular display.
