priority,person_id,name_zh,name_en,period,importance,coverage_status,content_count,person_source_id,primary_source_status,specialist_source_status,relation_review_status,next_action
1,duke-zhou,周公,Duke of Zhou,legendary-antiquity,core,position-research-pending,0,sep-social-political,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
1,laozi,老子,Laozi,classical,core,reviewed-position-present,3,oxford-handbook-2025,locator-recorded-for-current-position,person-level-source-listed,position-relation-review-open,expand-position-system-and-audit-relations
1,confucius,孔子,Confucius,classical,core,reviewed-position-present,3,oxford-handbook-2025,locator-recorded-for-current-position,person-level-source-listed,position-relation-review-open,expand-position-system-and-audit-relations
1,mozi,墨子,Mozi,classical,core,reviewed-position-present,3,sep-mohism,locator-recorded-for-current-position,person-level-source-listed,position-relation-review-open,expand-position-system-and-audit-relations
1,shang-yang,商鞅,Shang Yang,classical,core,position-research-pending,0,sep-legalism,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
1,shen-buhai,申不害,Shen Buhai,classical,core,position-research-pending,0,sep-legalism,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
1,mencius,孟子,Mencius,classical,core,reviewed-position-present,3,sep-mencius,locator-recorded-for-current-position,person-level-source-listed,position-relation-review-open,expand-position-system-and-audit-relations
1,zhuangzi,庄子,Zhuangzi,classical,core,reviewed-position-present,3,sep-zhuangzi,locator-recorded-for-current-position,person-level-source-listed,position-relation-review-open,expand-position-system-and-audit-relations
1,gongsun-long,公孙龙,Gongsun Long,classical,core,position-research-pending,0,oxford-handbook-2025,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
1,zou-yan,邹衍,Zou Yan,classical,core,position-research-pending,0,oxford-handbook-2025,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
1,xunzi,荀子,Xunzi,classical,core,reviewed-position-present,3,oxford-handbook-2025,locator-recorded-for-current-position,person-level-source-listed,position-relation-review-open,expand-position-system-and-audit-relations
1,han-fei,韩非,Han Fei,classical,core,position-research-pending,0,sep-legalism,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
1,liu-an,刘安,Liu An,early-imperial,core,position-research-pending,0,chan-sourcebook,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
1,dong-zhongshu,董仲舒,Dong Zhongshu,early-imperial,core,position-research-pending,0,chan-sourcebook,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
1,sima-qian,司马迁,Sima Qian,early-imperial,core,position-research-pending,0,chan-sourcebook,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
1,yang-xiong,扬雄,Yang Xiong,early-imperial,core,position-research-pending,0,chan-sourcebook,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
1,wang-chong,王充,Wang Chong,early-imperial,core,position-research-pending,0,chan-sourcebook,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
1,zheng-xuan,郑玄,Zheng Xuan,early-imperial,core,position-research-pending,0,chan-sourcebook,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
1,he-yan,何晏,He Yan,medieval,core,position-research-pending,0,sep-neo-daoism,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
1,wang-bi,王弼,Wang Bi,medieval,core,position-research-pending,0,sep-neo-daoism,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
1,ji-kang,嵇康,Ji Kang,medieval,core,position-research-pending,0,sep-neo-daoism,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
1,guo-xiang,郭象,Guo Xiang,medieval,core,position-research-pending,0,sep-neo-daoism,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
1,ge-hong,葛洪,Ge Hong,medieval,core,position-research-pending,0,chan-sourcebook,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
1,huiyuan,慧远,Huiyuan,medieval,core,position-research-pending,0,oxford-handbook-2025,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
1,sengzhao,僧肇,Sengzhao,medieval,core,position-research-pending,0,oxford-handbook-2025,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
1,daosheng,道生,Daosheng,medieval,core,position-research-pending,0,oxford-handbook-2025,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
1,fan-zhen,范缜,Fan Zhen,medieval,core,position-research-pending,0,chan-sourcebook,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
1,zhiyi,智顗,Zhiyi,medieval,core,position-research-pending,0,oxford-handbook-2025,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
1,jizang,吉藏,Jizang,medieval,core,position-research-pending,0,oxford-handbook-2025,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
1,xuanzang,玄奘,Xuanzang,medieval,core,position-research-pending,0,oxford-handbook-2025,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
1,huineng,惠能,Huineng,medieval,core,position-research-pending,0,oxford-handbook-2025,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
1,fazang,法藏,Fazang,medieval,core,position-research-pending,0,oxford-handbook-2025,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
1,mazu-daoyi,马祖道一,Mazu Daoyi,medieval,core,position-research-pending,0,oxford-handbook-2025,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
1,han-yu,韩愈,Han Yu,medieval,core,position-research-pending,0,sep-song-ming,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
1,li-ao,李翱,Li Ao,medieval,core,position-research-pending,0,sep-song-ming,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
1,zongmi,宗密,Guifeng Zongmi,medieval,core,position-research-pending,0,oxford-handbook-2025,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
1,linji-yixuan,临济义玄,Linji Yixuan,medieval,core,position-research-pending,0,oxford-handbook-2025,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
1,zhou-dunyi,周敦颐,Zhou Dunyi,song-yuan,core,position-research-pending,0,sep-song-ming,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
1,shao-yong,邵雍,Shao Yong,song-yuan,core,position-research-pending,0,sep-song-ming,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
1,zhang-zai,张载,Zhang Zai,song-yuan,core,position-research-pending,0,sep-song-ming,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
1,cheng-hao,程颢,Cheng Hao,song-yuan,core,position-research-pending,0,sep-song-ming,pending,person-level-source-listed,blocked-until-position-review,locate-primary-text-and-extract-first-position
