review_id,entity_type,entity_id,review_dimension,decision,reviewer,reviewed_at,note,previous_revision,new_revision
audit-dedupe-density-c-17e22c26258b2a,relation,density-c-17e22c26258b2a,independent-semantic-deduplication,removed-as-duplicate,independent-relation-audit,2026-07-17,Merged evidence into density-xp-songqing-modern-03-jiao-xun-nature-capacity-through-practice-cai-yuanpei-education-personality.,density-c-17e22c26258b2a,density-xp-songqing-modern-03-jiao-xun-nature-capacity-through-practice-cai-yuanpei-education-personality
audit-dedupe-density-c-1ea446a41e0e1a,relation,density-c-1ea446a41e0e1a,independent-semantic-deduplication,removed-as-duplicate,independent-relation-audit,2026-07-17,Merged evidence into density-xp-hantang-songqing-02-zhi-dun-freedom-not-mere-satisfaction-wang-ji-four-nothings.,density-c-1ea446a41e0e1a,density-xp-hantang-songqing-02-zhi-dun-freedom-not-mere-satisfaction-wang-ji-four-nothings
audit-dedupe-density-c-79c7df8071a1da,relation,density-c-79c7df8071a1da,independent-semantic-deduplication,removed-as-duplicate,independent-relation-audit,2026-07-17,Merged evidence into density-xp-songqing-modern-16-ma-zhu-divine-unity-obedience-tan-sitong-ren-as-communication.,density-c-79c7df8071a1da,density-xp-songqing-modern-16-ma-zhu-divine-unity-obedience-tan-sitong-ren-as-communication
audit-dedupe-rel-confucius-harmony-superior,relation,rel-confucius-harmony-superior,independent-semantic-deduplication,removed-as-duplicate,independent-relation-audit,2026-07-17,Merged evidence into rel-confucius-harmony-junzi.,rel-confucius-harmony-superior,rel-confucius-harmony-junzi
audit-dedupe-rel-mozi-care-xunzi-ritual,relation,rel-mozi-care-xunzi-ritual,independent-semantic-deduplication,removed-as-duplicate,independent-relation-audit,2026-07-17,Merged evidence into rel-xunzi-mozi-ritual-frugality.,rel-mozi-care-xunzi-ritual,rel-xunzi-mozi-ritual-frugality
audit-dedupe-rel-xunzi-rectification-ritual,relation,rel-xunzi-rectification-ritual,independent-semantic-deduplication,removed-as-duplicate,independent-relation-audit,2026-07-17,Merged evidence into rel-xunzi-rectification-order.,rel-xunzi-rectification-ritual,rel-xunzi-rectification-order
audit-historical-influence-rel-confucius-laozi-ritual-wuwei,relation,rel-confucius-laozi-ritual-wuwei,historical-influence,downgrade,method-audit-2026-07-17,2026-07-17,Cross-person relation lacked a located excerpt or direct transmission evidence; retained as a conceptual relation only.,explicit,conceptual-only
audit-historical-influence-rel-dongzhongshu-xunzi-heaven,relation,rel-dongzhongshu-xunzi-heaven,historical-influence,downgrade,method-audit-2026-07-17,2026-07-17,Cross-person relation lacked a located excerpt or direct transmission evidence; retained as a conceptual relation only.,explicit,conceptual-only
audit-historical-influence-rel-huishi-zhuangzi-oneness,relation,rel-huishi-zhuangzi-oneness,historical-influence,downgrade,method-audit-2026-07-17,2026-07-17,Cross-person relation lacked a located excerpt or direct transmission evidence; retained as a conceptual relation only.,explicit,conceptual-only
audit-historical-influence-rel-laozi-shangyang-wuwei-law,relation,rel-laozi-shangyang-wuwei-law,historical-influence,downgrade,method-audit-2026-07-17,2026-07-17,Cross-person relation lacked a located excerpt or direct transmission evidence; retained as a conceptual relation only.,explicit,conceptual-only
audit-historical-influence-rel-mencius-mozi-yi-care,relation,rel-mencius-mozi-yi-care,historical-influence,downgrade,method-audit-2026-07-17,2026-07-17,Cross-person relation lacked a located excerpt or direct transmission evidence; retained as a conceptual relation only.,explicit,conceptual-only
audit-historical-influence-rel-mencius-zhuangzi-nature,relation,rel-mencius-zhuangzi-nature,historical-influence,downgrade,method-audit-2026-07-17,2026-07-17,Cross-person relation lacked a located excerpt or direct transmission evidence; retained as a conceptual relation only.,explicit,conceptual-only
audit-historical-influence-rel-xunzi-hanfei-nature-law,relation,rel-xunzi-hanfei-nature-law,historical-influence,downgrade,method-audit-2026-07-17,2026-07-17,Cross-person relation lacked a located excerpt or direct transmission evidence; retained as a conceptual relation only.,explicit,conceptual-only
audit-historical-influence-rel-xunzi-hanfei-rectification,relation,rel-xunzi-hanfei-rectification,historical-influence,downgrade,method-audit-2026-07-17,2026-07-17,Cross-person relation lacked a located excerpt or direct transmission evidence; retained as a conceptual relation only.,explicit,conceptual-only
audit-historical-influence-rel-xunzi-mozi-ritual-frugality,relation,rel-xunzi-mozi-ritual-frugality,historical-influence,downgrade,method-audit-2026-07-17,2026-07-17,Cross-person relation lacked a located excerpt or direct transmission evidence; retained as a conceptual relation only.,explicit,conceptual-only
audit-historical-influence-rel-zhuangzi-shen-dao-technical,relation,rel-zhuangzi-shen-dao-technical,historical-influence,downgrade,method-audit-2026-07-17,2026-07-17,Cross-person relation lacked a located excerpt or direct transmission evidence; retained as a conceptual relation only.,explicit,conceptual-only
batch-ai-siqi-philosophy-popular-language,claim,ai-siqi-philosophy-popular-language,source-and-bilingual-batch-review,accepted-for-publication,modern-expansion-agent-2026-07-17,2026-07-17,Imported from expansion-modern-2026-07-17; attribution: conference-paper abstract; primary-edition collation pending,,1
batch-ai-siqi-philosophy-worldview-practical,claim,ai-siqi-philosophy-worldview-practical,source-and-bilingual-batch-review,accepted-for-publication,codex-zen-modern-source-review,2026-07-17,Imported from zen-modern-transition-primary-claims-2026-07-15; attribution: 引文由复旦大学学术论文核对并讨论，短句本身见《大众哲学》多个版本；命题中的“影响认识和行动”是对该书整体通俗化目标的保守概括，不把后来的教科书体系全部倒推给艾思奇。,,1
batch-bai-tongdong-confucian-hybrid-regime,claim,bai-tongdong-confucian-hybrid-regime,source-and-bilingual-batch-review,accepted-for-publication,codex-primary-source-pass,2026-07-17,Imported from contemporary-research-2026-07-15-a; attribution: 作者本人PUP专著；excerpt来自出版社公开摘要。解释保持规范论证与现实政体评价之间的界线。,,1
batch-ban-zhao-educate-women,claim,ban-zhao-educate-women,source-and-bilingual-batch-review,accepted-for-publication,codex-medieval-source-review-2,2026-07-17,Imported from medieval-second-primary-claims-2026-07-14; attribution: 《女诫》传统一直归班昭；现存文本经过长期抄刻。该命题同时保留其倡导女教与维护性别等级的历史张力。,,1
batch-bodhidharma-two-entrances-practice,claim,bodhidharma-two-entrances-practice,source-and-bilingual-batch-review,accepted-for-publication,codex-zen-modern-source-review,2026-07-17,Imported from zen-modern-transition-primary-claims-2026-07-15; attribution: 现存文本出自敦煌写本及后世传本系统，篇首有传统归于昙林的序。学界对本文各层及其是否可逐字归于菩提达摩仍有争论；此处只称“早期达摩传统所保存的教说”，不冒充达摩同期录音或亲笔。,,1
batch-cai-yuanpei-education-personality,claim,cai-yuanpei-education-personality,source-and-bilingual-batch-review,accepted-for-publication,modern-primary-batch,2026-07-17,Imported from modern-primary-2026-07-14; attribution: public-domain primary text,,1
batch-chen-lai-relational-value-priorities,claim,chen-lai-relational-value-priorities,source-and-bilingual-batch-review,accepted-for-publication,codex-primary-source-pass,2026-07-17,Imported from contemporary-research-2026-07-15-a; attribution: 引文由清华大学机构页明确归于作者新著；解释使用“价值偏好”是陈来本人对比较方法的说明，避免将描述性比较写成政治身份判断。,,1
batch-chen-liang-dao-within-things-affairs,claim,chen-liang-dao-within-things-affairs,source-and-bilingual-batch-review,accepted-for-publication,codex-primary-source-pass,2026-07-17,Imported from song-qing-primary-2026-07-14-b; attribution: 陈亮本人文章；两句在同一论道语境中，规范命题未套用现代“唯物主义”标签。,,1
batch-chen-xianzhang-stillness-moral-intimation,claim,chen-xianzhang-stillness-moral-intimation,source-and-bilingual-batch-review,accepted-for-publication,codex-primary-source-pass,2026-07-17,Imported from song-qing-primary-2026-07-14-b; attribution: 后出的正史传记概括，不是陈献章亲笔原句；因与其文集思想相合而暂收，并明确降低文本层级。,,1
batch-cheng-chung-ying-onto-hermeneutic-integration,claim,cheng-chung-ying-onto-hermeneutic-integration,source-and-bilingual-batch-review,accepted-for-publication,codex-primary-source-pass,2026-07-17,Imported from contemporary-research-2026-07-15-a; attribution: 规范命题概括整篇论文的系统论证；excerpt仅保留作者题名中的概念组合，不制造无法逐字核对的引语。,,1
batch-cheng-hao-ren-one-body,claim,cheng-hao-ren-one-body,source-and-bilingual-batch-review,accepted-for-publication,codex-primary-source-pass,2026-07-17,Imported from song-qing-primary-2026-07-14-a; attribution: 属程门弟子记录的程颢语录，而非程颢手定文稿；《性理大全书》保存平行文本。,,1
batch-cheng-yi-nature-is-principle,claim,cheng-yi-nature-is-principle,source-and-bilingual-batch-review,accepted-for-publication,codex-song-qing-primary-and-comparative-pass,2026-07-17,Imported from expansion-song-qing-2026-07-17; attribution: 程颐语，由门人记录；不同辑本字句略有异文。,,1
