claim_id,locale,text,explanation,tags,translation_status,translator,reviewer,reviewed_at
fuxi-textual-image-patterns-to-trigrams,en,"The image of Fuxi constructed in 'Appended Statements II' creates the eight trigrams by observing celestial signs, terrestrial patterns, animal markings, and things near and far, using them to classify the dispositions of things and communicate numinous efficacy.",This node records a Warring States-to-Han Yijing-commentarial account of the origin of knowledge: a symbolic system arises through analogical observation of natural and bodily patterns. It is not a verifiable utterance by Fuxi.,eight trigrams;observing patterns;classification;origin of knowledge,reviewed,legendary-founders-2026-07-15-a,legendary-founders-2026-07-15-a,2026-07-17
fuxi-textual-image-patterns-to-trigrams,zh-CN,《系辞下》塑造的伏羲形象通过观察天象、地法、鸟兽纹理以及远近事物，制作八卦以分类万物情状并贯通神明之德。,该节点记录的是战国至汉代《易传》传统对知识起源的叙述：符号系统来自对自然和身体模式的类比观察；它不是伏羲本人的可证言论。,八卦;观象;分类;知识起源,reviewed,legendary-founders-2026-07-15-a,legendary-founders-2026-07-15-a,2026-07-17
shennong-textual-image-empirical-benefit,en,The image of Shennong constructed in the Huainanzi develops agricultural and medicinal knowledge for public benefit by comparing local soil conditions and personally testing plants and water sources.,"Its philosophical significance lies in grounding knowledge in observation, comparison, and testing for the sake of public livelihood. Shennong's tasting of plants remains a cultural memory in a Han text, not a verifiable event.",testing plants;local adaptation;agriculture;empirical knowledge,reviewed,legendary-founders-2026-07-15-a,legendary-founders-2026-07-15-a,2026-07-17
shennong-textual-image-empirical-benefit,zh-CN,《淮南子》塑造的神农形象通过比较土地条件、亲尝草木与水泉，形成可让民众趋利避害的农业和药物知识。,这里的思想意义是把知识建立在观察、比较和试验上，并以公共生计为目标；“尝百草”仍是汉代文本中的文化记忆，不是可验证事件。,尝百草;因地制宜;农业;经验知识,reviewed,legendary-founders-2026-07-15-a,legendary-founders-2026-07-15-a,2026-07-17
huangdi-medical-tradition-regulated-life,en,"The health philosophy constructed by the Huangdi-Qibo dialogue tradition in the Huangdi Neijing holds that conforming to yin-yang and technical regularities, moderating diet, keeping regular habits, and avoiding excessive labor allow body and spirit to remain together through one's natural lifespan.","The answer is voiced by Qibo in the text, so the node belongs to the 'Huangdi medical tradition' rather than to Huangdi's personal speech. Its core is the connection among regulated living, environmental order, and bodily-mental health.",yin-yang;daily habits;diet;body and spirit,reviewed,legendary-founders-2026-07-15-a,legendary-founders-2026-07-15-a,2026-07-17
huangdi-medical-tradition-regulated-life,zh-CN,《黄帝内经》的黄帝—岐伯问答传统所塑造的养生论主张：顺应阴阳与术数、节制饮食、规律起居并避免过劳，才能使形神相守而尽其天年。,具体回答在文本中由岐伯说出，节点因此归于“黄帝医学传统”而非黄帝个人发言；其核心是生活节律、环境秩序与形神健康的关联。,阴阳;起居;饮食;形神,reviewed,legendary-founders-2026-07-15-a,legendary-founders-2026-07-15-a,2026-07-17
yao-textual-image-virtue-expands-to-all-under-heaven,en,"The image of Yao constructed in the Canon of Yao begins from making excellent virtue manifest and extends order outward through harmony among kin, illumination of the people, and concord among the myriad states.",The node extracts the passage's near-to-far sequence of government. It neither turns a narrative encomium into Yao's first-person speech nor claims that this expansion is historical fact.,excellent virtue;kinship groups;myriad states;concord,reviewed,legendary-founders-2026-07-15-a,legendary-founders-2026-07-15-a,2026-07-17
yao-textual-image-virtue-expands-to-all-under-heaven,zh-CN,《尧典》塑造的尧帝形象以彰明德行为起点，使秩序从九族和睦扩展到百姓昭明、万邦协和。,该节点提炼原文由近及远的治理次序，不把叙事性颂辞当成尧的第一人称言论，也不声称这种扩展必是历史事实。,俊德;九族;万邦;协和,reviewed,legendary-founders-2026-07-15-a,legendary-founders-2026-07-15-a,2026-07-17
shun-textual-image-balanced-character-music-education,en,"The image of Shun constructed in the Canon of Shun requires musical education to cultivate paired and balancing traits: upright yet gentle, broad yet disciplined, firm yet not cruel, and simple yet not arrogant.",The claim preserves the four paired virtues as educational aims and notes their institutional setting in Shun's appointment of Kui to direct music; it is not a verifiable educational treatise by Shun.,musical education;balanced virtues;Kui;education,reviewed,legendary-founders-2026-07-15-a,legendary-founders-2026-07-15-a,2026-07-17
shun-textual-image-balanced-character-music-education,zh-CN,《舜典》塑造的舜帝形象要求以乐教培养相反而互补的品格：正直而温和、宽厚而庄敬、刚强而不暴虐、简约而不傲慢。,该命题把原文四组德性保留为教育目标，并指出它们通过命夔典乐的制度语境表达；不是舜本人可证的教育学著述。,乐教;德性平衡;夔;教育,reviewed,legendary-founders-2026-07-15-a,legendary-founders-2026-07-15-a,2026-07-17
