id,type,title,url,citation_zh,citation_en
atlantis-ai-siqi-popular-philosophy-2017,conference-paper,On Ai Siqi's Popular Philosophy,https://www.atlantis-press.com/proceedings/icsshe-17/25884355,《论艾思奇〈大众哲学〉》，ICSSHE 2017会议论文；使用出版社摘要，正式研究仍应回到《大众哲学》版本。,"‘On Ai Siqi's Popular Philosophy,’ ICSSHE 2017 proceedings; publisher abstract used pending collation with an edition of Popular Philosophy."
bai-tongdong-against-equality-2019,author-academic-book,"Tongdong Bai, Against Political Equality: The Confucian Case",https://academic.oup.com/princeton-scholarship-online/book/37155,白彤东：《Against Political Equality: The Confucian Case》，Princeton：Princeton University Press，2019年，尤其第3章。,"Tongdong Bai, Against Political Equality: The Confucian Case (Princeton University Press, 2019), esp. chap. 3."
cbdb,research-database,China Biographical Database,https://cbdb.hsites.harvard.edu/,中国历代人物传记资料库；用于7—19世纪人物发现、异名、生卒与社会关系的交叉核查，不单独作为哲学观点证据。,China Biographical Database; used to discover and cross-check people aliases dates and social relations mainly for the seventh through nineteenth centuries not as sole evidence for philosophical positions.
cbdb-api,research-tool,China Biographical Database API,https://cbdb.hsites.harvard.edu/cbdb-api,中国历代人物传记资料库官方API；用于固定人物ID、异名与年代核查，不作为观点证据。,Official China Biographical Database API; used for stable person identifiers aliases and dates but not as claim evidence.
cbeta-api,research-tool,CBETA Online API,https://api.cbetaonline.cn/,CBETA官方在线API；用于佛典检索与定位，API结果不得未经核对直接生成观点。,Official CBETA Online API; used for Buddhist text discovery and locators and never promoted directly to claims without review.
cbeta-corpus,digital-text-corpus,CBETA Chinese Electronic Tripitaka Collection,https://cbeta.org/,CBETA电子佛典集成；用于中国佛教思想原典发现，正式证据须记录藏经号、经号、卷及页栏行。,CBETA Chinese Electronic Tripitaka Collection; used to discover Buddhist primary texts with canonical number volume page column and line locators required for evidence.
chan-sourcebook,scholarly-book,A Source Book in Chinese Philosophy,https://search.worldcat.org/title/1132410,陈荣捷编译《中国哲学文献选编》。,Wing-tsit Chan trans. and comp. A Source Book in Chinese Philosophy.
chen-lai-core-values-2015,author-book-reported-by-home-institution,陈来《中华文明的核心价值》,https://www.tsinghua.edu.cn/info/1182/41204.htm,陈来：《中华文明的核心价值：国学流变与传统价值观》，北京：生活·读书·新知三联书店，2015年；清华大学校级机构页转引书中命题。,"Chen Lai, The Core Values of Chinese Civilization (Beijing: SDX Joint Publishing, 2015); thesis quoted on Tsinghua University’s institutional publication page."
chen-liang-jingshu-fati,primary-text,陈亮《经书发题》,https://ctext.org/searchbooks.pl?if=gb&searchu=%E7%B6%93%E6%9B%B8%E7%99%BC%E9%A1%8C,〔宋〕陈亮：《经书发题》，《龙川文集》卷九；邓广铭点校《陈亮集》，北京：中华书局，1987年。,"Chen Liang, Jingshu fati, Longchuan wenji, juan 9; Deng Guangming, ed., Chen Liang ji (Beijing: Zhonghua, 1987)."
chen-xianzhang-mingshi,early-biographical-attestation,《明史·陈献章传》所录教学语,https://ctext.org/searchbooks.pl?if=gb&searchu=%E6%98%8E%E5%8F%B2%E9%99%B3%E7%8D%BB%E7%AB%A0,〔清〕张廷玉等：《明史》卷二百八十三〈陈献章传〉，记陈献章教学语。,"Zhang Tingyu et al., Ming shi, juan 283, biography of Chen Xianzhang, recording his teaching."
