relation_id,source_id,locator,excerpt_id,evidence_role,evidence_status,reviewer,reviewed_at
density-c-00610bfe343d51,src-liezi-tianrui-ctext,《列子·天瑞》“生者不能不生”段,ex-liezi-ceaseless-generation-transformation,source-claim-support,locator-reviewed,batch-import-quality-gate,2026-07-17
density-c-00610bfe343d51,src-mayifu-liuyilun-zhexueyanjiu,论文摘要，第3—4句，论“道—道术”层次与诠释学循环,ex-ma-yifu-six-arts-interconnected-hermeneutic-whole,target-claim-support,locator-reviewed,batch-import-quality-gate,2026-07-17
density-c-00610bfe343d51,src-mayifu-liuyilun-zhexueyanjiu,论文摘要，第3—4句，论“道—道术”层次与诠释学循环,ex-density-c-00610bfe343d51-1,conceptual-comparison,locator-reviewed,density-low-degree-agent-2026-07-17,2026-07-17
density-c-0d0a6331cf1572,bai-tongdong-against-equality-2019,"Against Political Equality, book abstract and chap. 3 “A Confucian Hybrid Regime”",ex-bai-tongdong-confucian-hybrid-regime,target-claim-support,locator-reviewed,batch-import-quality-gate,2026-07-17
density-c-0d0a6331cf1572,bai-tongdong-against-equality-2019,"Against Political Equality, book abstract and chap. 3 “A Confucian Hybrid Regime”",ex-density-c-0d0a6331cf1572-1,conceptual-comparison,locator-reviewed,density-low-degree-agent-2026-07-17,2026-07-17
density-c-0d0a6331cf1572,src-huiyuan-shamen,"T52, no. 2102, 卷5〈沙門不敬王者論·出家第二〉",ex-huiyuan-monastic-autonomy,source-claim-support,locator-reviewed,batch-import-quality-gate,2026-07-17
density-c-0e72e2e6172e3f,src-ruanji-daren,《大人先生傳》开篇及答君子书段,ex-ruan-ji-great-person-beyond-ritual,target-claim-support,locator-reviewed,batch-import-quality-gate,2026-07-17
density-c-0e72e2e6172e3f,src-ruanji-daren,《大人先生傳》开篇及答君子书段,ex-density-c-0e72e2e6172e3f-1,conceptual-comparison,locator-reviewed,density-low-degree-agent-2026-07-17,2026-07-17
density-c-0e72e2e6172e3f,src-sunbin-jianweiwang-ctext,银雀山汉简《孙膑兵法·见威王》开篇,ex-sun-bin-war-neither-delight-nor-profit,source-claim-support,locator-reviewed,batch-import-quality-gate,2026-07-17
density-c-11c7fab7ee1e4b,src-dushun-fajieguan-attributed,"T45, no. 1883, p. 672a-b，〈真空觀第一·會色歸空觀〉",ex-du-shun-emptiness-form-nonobstruction,source-claim-support,locator-reviewed,batch-import-quality-gate,2026-07-17
density-c-11c7fab7ee1e4b,wang-daiyu-zhengjiao,《正教真诠》上卷〈真一〉首段,ex-wang-daiyu-true-one-transcends-form,target-claim-support,locator-reviewed,batch-import-quality-gate,2026-07-17
density-c-11c7fab7ee1e4b,wang-daiyu-zhengjiao,《正教真诠》上卷〈真一〉首段,ex-density-c-11c7fab7ee1e4b-1,conceptual-comparison,locator-reviewed,density-low-degree-agent-2026-07-17,2026-07-17
density-c-15e7a0559152da,src-shangshu-zhoushu-ctext,《尚书·周书·康诰》“惟乃丕显考文王”段,ex-duke-zhou-textual-image-bright-virtue-cautious-punishment,source-claim-support,locator-reviewed,batch-import-quality-gate,2026-07-17
density-c-15e7a0559152da,src-zhengxuan-liji-liji,《禮記鄭氏注》卷十〈禮器第十〉，“禮也者猶體也”章郑注,ex-zheng-xuan-ritual-constitutes-person,target-claim-support,locator-reviewed,batch-import-quality-gate,2026-07-17
density-c-15e7a0559152da,src-zhengxuan-liji-liji,《禮記鄭氏注》卷十〈禮器第十〉，“禮也者猶體也”章郑注,ex-density-c-15e7a0559152da-1,conceptual-comparison,locator-reviewed,density-low-degree-agent-2026-07-17,2026-07-17
