claim_id,source_id,locator,evidence_role,excerpt_id,evidence_status,reviewer,reviewed_at
fuxi-textual-image-patterns-to-trigrams,src-zhouyi-xicixia-ctext,《周易·系辞下》第二章，包牺氏作八卦段,primary,ex-fuxi-textual-image-patterns-to-trigrams,locator-reviewed,legendary-founders-2026-07-15-a,2026-07-17
shennong-textual-image-empirical-benefit,src-huainanzi-xiuwu-ctext,《淮南子·修务训》神农教民播种、尝百草段,primary,ex-shennong-textual-image-empirical-benefit,locator-reviewed,legendary-founders-2026-07-15-a,2026-07-17
huangdi-medical-tradition-regulated-life,src-huangdi-neijing-shanggutianzhen-ctext,《黄帝内经素问·上古天真论》第一节，黄帝问、岐伯答段,primary,ex-huangdi-medical-tradition-regulated-life,locator-reviewed,legendary-founders-2026-07-15-a,2026-07-17
yao-textual-image-virtue-expands-to-all-under-heaven,src-shangshu-yushu-ctext,《尚书·虞书·尧典》开篇“克明俊德”段,primary,ex-yao-textual-image-virtue-expands-to-all-under-heaven,locator-reviewed,legendary-founders-2026-07-15-a,2026-07-17
shun-textual-image-balanced-character-music-education,src-shangshu-yushu-ctext,《尚书·虞书·舜典》第十六节，命夔典乐段,primary,ex-shun-textual-image-balanced-character-music-education,locator-reviewed,legendary-founders-2026-07-15-a,2026-07-17
yu-textual-image-good-government-nourishes-people,src-shangshu-yushu-ctext,《尚书·虞书·大禹谟》第六节，禹曰“德惟善政”段,primary,ex-yu-textual-image-good-government-nourishes-people,locator-reviewed,legendary-founders-2026-07-15-a,2026-07-17
king-wen-textual-tradition-qian-constancy,src-zhouyi-qian-ctext,《周易》经文，乾卦卦辞,primary,ex-king-wen-textual-tradition-qian-constancy,locator-reviewed,legendary-founders-2026-07-15-a,2026-07-17
duke-zhou-textual-image-bright-virtue-cautious-punishment,src-shangshu-zhoushu-ctext,《尚书·周书·康诰》“惟乃丕显考文王”段,primary,ex-duke-zhou-textual-image-bright-virtue-cautious-punishment,locator-reviewed,legendary-founders-2026-07-15-a,2026-07-17
guan-zhong-material-security-moral-order,src-guanzi-mumin-ctext,《管子·牧民》第一节,primary,ex-guan-zhong-material-security-moral-order,locator-reviewed,classical-2-2026-07-14-a,2026-07-17
laozi-language-dao,ctext-laozi,Dao De Jing 1 / 《道德经》第一章,primary,ex-laozi-language-dao,locator-reviewed,phase1-editorial,2026-07-14
laozi-wuwei-transformation,ctext-laozi,Dao De Jing 37 / 《道德经》第三十七章,primary,ex-laozi-wuwei-transformation,locator-reviewed,phase1-editorial,2026-07-14
laozi-model-naturalness,ctext-laozi,Dao De Jing 25 / 《道德经》第二十五章,primary,ex-laozi-model-naturalness,locator-reviewed,phase1-editorial,2026-07-14
laozi-reversal-dao,ctext-laozi,Dao De Jing 40 / 《道德经》第四十章,primary,ex-laozi-reversal-dao,locator-reviewed,phase1-editorial,2026-07-14
laozi-softness-overcomes,ctext-laozi,Dao De Jing 43 / 《道德经》第四十三章,primary,ex-laozi-softness-overcomes,locator-reviewed,phase1-editorial,2026-07-14
laozi-contentment,ctext-laozi,Dao De Jing 44 / 《道德经》第四十四章,primary,ex-laozi-contentment,locator-reviewed,phase1-editorial,2026-07-14
yan-ying-harmony-not-sameness,src-yanzichunqiu-he-wikisource,卷七“景公谓梁丘据与己和晏子谏”第五,primary,ex-yan-ying-harmony-not-sameness,locator-reviewed,codex-ultimate-candidate-expansion-2026-07-17,2026-07-17
confucius-ren-ritual,ctext-analects,Analects 12.1 / 《论语·颜渊》,primary,ex-confucius-ren-ritual,locator-reviewed,phase1-editorial,2026-07-14
confucius-reciprocity,ctext-analects,Analects 15.24 / 《论语·卫灵公》,primary,ex-confucius-reciprocity,locator-reviewed,phase1-editorial,2026-07-14
confucius-rule-virtue,ctext-analects,Analects 2.1 / 《论语·为政》,primary,ex-confucius-rule-virtue,locator-reviewed,phase1-editorial,2026-07-14
