id,source_statement_id,target_statement_id,polarity,subtype,basis,direction,historical_influence,review_status,reviewer,reviewed_at,evidence_source_ids
density-c-00610bfe343d51,liezi-ceaseless-generation-transformation,ma-yifu-six-arts-interconnected-hermeneutic-whole,positive,similarity,editorial,undirected,conceptual-only,reviewed,density-low-degree-agent-2026-07-17,2026-07-17,src-liezi-tianrui-ctext;src-mayifu-liuyilun-zhexueyanjiu
density-c-0d0a6331cf1572,huiyuan-monastic-autonomy,bai-tongdong-confucian-hybrid-regime,positive,similarity,editorial,undirected,conceptual-only,reviewed,density-low-degree-agent-2026-07-17,2026-07-17,bai-tongdong-against-equality-2019;src-huiyuan-shamen
density-c-0e72e2e6172e3f,sun-bin-war-neither-delight-nor-profit,ruan-ji-great-person-beyond-ritual,positive,similarity,editorial,undirected,conceptual-only,reviewed,density-low-degree-agent-2026-07-17,2026-07-17,src-ruanji-daren;src-sunbin-jianweiwang-ctext
density-c-11c7fab7ee1e4b,du-shun-emptiness-form-nonobstruction,wang-daiyu-true-one-transcends-form,positive,similarity,editorial,undirected,conceptual-only,reviewed,density-low-degree-agent-2026-07-17,2026-07-17,src-dushun-fajieguan-attributed;wang-daiyu-zhengjiao
density-c-15e7a0559152da,duke-zhou-textual-image-bright-virtue-cautious-punishment,zheng-xuan-ritual-constitutes-person,positive,similarity,editorial,undirected,conceptual-only,reviewed,density-low-degree-agent-2026-07-17,2026-07-17,src-shangshu-zhoushu-ctext;src-zhengxuan-liji-liji
density-c-1a74df3d684b0d,sunzi-victory-before-battle,sengzhao-emptiness-not-annihilation,positive,similarity,editorial,undirected,conceptual-only,reviewed,density-low-degree-agent-2026-07-17,2026-07-17,src-sengzhao-zhaolun-cbeta;src-sunzi-junxing-ctext
density-c-1cf1399f7f05f2,wang-fu-people-ground-state,kang-youwei-great-unity-abolish-national-boundaries,positive,similarity,editorial,undirected,conceptual-only,reviewed,density-low-degree-agent-2026-07-17,2026-07-17,src-kang-datongshu-yibu-wikisource;src-wangfu-qianfulun
density-c-24e4f60a152f28,zisi-sincerity-heaven-human-way,zhang-shi-righteousness-without-profit-motive,positive,similarity,editorial,undirected,conceptual-only,reviewed,density-low-degree-agent-2026-07-17,2026-07-17,src-liji-zhongyong-ctext;zhang-shi-yili
density-c-29a76d9ea9d752,ye-shi-one-realized-through-pairs,robin-wang-yinyang-relational-generativity,positive,similarity,editorial,undirected,conceptual-only,reviewed,density-low-degree-agent-2026-07-17,2026-07-17,robin-wang-yinyang-2012;ye-shi-zhongyong
density-c-2b10b73e3b4477,li-si-state-strength-through-inclusion,he-zhen-gender-subjugation-interlocks-capitalism-imperialism-patriarchy,positive,similarity,editorial,undirected,conceptual-only,reviewed,density-low-degree-agent-2026-07-17,2026-07-17,src-hezhen-birth-chinese-feminism-cup;src-jianzhukeshu-ctext
density-c-2d05e834874b05,gongsun-long-white-horse-not-horse,xuanzang-color-not-apart-consciousness,positive,similarity,editorial,undirected,conceptual-only,reviewed,density-low-degree-agent-2026-07-17,2026-07-17,src-gongsunlongzi-baimajun-ctext;src-xuanzang-zhenweishiliang
density-c-2d94d6376c0e56,king-wen-textual-tradition-qian-constancy,he-yan-nonbeing-ground-of-being,positive,similarity,editorial,undirected,conceptual-only,reviewed,density-low-degree-agent-2026-07-17,2026-07-17,src-heyan-daolun-liezi-zhu-ctext;src-zhouyi-qian-ctext
density-c-311a0eaa0aade4,jizang-two-truths-pedagogical,yang-guorong-concrete-metaphysics-authentic-being,positive,similarity,editorial,undirected,conceptual-only,reviewed,density-low-degree-agent-2026-07-17,2026-07-17,src-jizang-erdi;yang-guorong-philosophical-horizons-2019
density-c-34dd21cb62305f,guo-xiang-independence-through-dependence,hu-hong-nature-beyond-good-evil,positive,similarity,editorial,undirected,conceptual-only,reviewed,density-low-degree-agent-2026-07-17,2026-07-17,hu-hong-zhiyan;src-guoxiang-zhuangzi-xiaoyaoyou
density-c-3af4363f72cedf,mazu-mind-is-buddha,liu-zongzhou-vigilance-in-solitude,positive,similarity,editorial,undirected,conceptual-only,reviewed,density-low-degree-agent-2026-07-17,2026-07-17,liu-zongzhou-renpu;src-mazu-jingde
density-c-3b39f2b98caf8c,yang-xiong-nature-mixed-cultivation,linji-master-of-every-situation,positive,similarity,editorial,undirected,conceptual-only,reviewed,density-low-degree-agent-2026-07-17,2026-07-17,src-linji-lu-t47;src-yangzi-fayan-xiushen-ctext
