claim_id,person_id,content_type,active_year,sort_order,is_introductory,domain_ids,research_status,source_review_status,translation_review_status,dedup_review_status,publish_status,canonical_key,period_note,reviewer,reviewed_at
fuxi-textual-image-patterns-to-trigrams,fuxi,position,-2900,1,true,tiandao-metaphysics;knowledge-method,canonical,source-reviewed,bilingual-reviewed,reviewed,published,fuxi-textual-image-patterns-to-trigrams,伏羲属于传说人物，无法确证其生平或言论。《系辞》不是传说年代文献，其主体通常置于战国至汉初的《易传》形成层；本节点只表示后世文本归于伏羲的文化奠基者形象。,legendary-founders-2026-07-15-a,2026-07-17
shennong-textual-image-empirical-benefit,shennong,position,-2800,1,true,nature-technology,canonical,source-reviewed,bilingual-reviewed,reviewed,published,shennong-textual-image-empirical-benefit,神农属于传说人物。《淮南子》成书于西汉淮南王刘安宫廷，距传说年代极远；该段是汉代关于文明起源的叙事，不是神农言论或同时代记录。,legendary-founders-2026-07-15-a,2026-07-17
huangdi-medical-tradition-regulated-life,huangdi,position,-2700,1,true,nature-technology;ethics-cultivation;mind-human-nature,canonical,source-reviewed,bilingual-reviewed,reviewed,published,huangdi-medical-tradition-regulated-life,黄帝为传说文化祖先，《黄帝内经》不是其著作。该书由战国至两汉医学材料长期汇编，今本文本又经后世整理；引文说话者是岐伯，本节点仅以黄帝问答框架所代表的医学传统归类。,legendary-founders-2026-07-15-a,2026-07-17
yao-textual-image-virtue-expands-to-all-under-heaven,yao,position,-2300,1,true,politics-governance;ethics-cultivation;society-world,canonical,source-reviewed,bilingual-reviewed,reviewed,published,yao-textual-image-virtue-expands-to-all-under-heaven,尧属于传统圣王叙事，无法由《尧典》确证其历史言论。《尧典》虽可能保存较早传统，其成文和编定远晚于传说中的尧世；本节点只描述文本塑造的政治典范。,legendary-founders-2026-07-15-a,2026-07-17
shun-textual-image-balanced-character-music-education,shun,position,-2200,1,true,education-hermeneutics;aesthetics-art;ethics-cultivation,canonical,source-reviewed,bilingual-reviewed,reviewed,published,shun-textual-image-balanced-character-music-education,舜是传统圣王形象，无法证实其言论。《尧典》《舜典》的分篇和文字层次经历长期传承与编定，文本远晚于所叙传说年代；本节点只归属于《尚书》塑造的舜形象。,legendary-founders-2026-07-15-a,2026-07-17
yu-textual-image-good-government-nourishes-people,yu-the-great,position,-2100,1,true,politics-governance;society-world;ethics-cultivation,canonical,source-reviewed,bilingual-reviewed,reviewed,published,yu-textual-image-good-government-nourishes-people,大禹的历史性及年代无法由该篇证明。《大禹谟》属于东晋出现的伪古文《尚书》篇章，一般不视为先秦原篇，更不可能作为夏代大禹原话；本节点只记录后世经典传本塑造的大禹政治形象。,legendary-founders-2026-07-15-a,2026-07-17
king-wen-textual-tradition-qian-constancy,king-wen-zhou,position,-1100,1,true,tiandao-metaphysics;ethics-cultivation,canonical,source-reviewed,bilingual-reviewed,reviewed,published,king-wen-textual-tradition-qian-constancy,文王为商末周初人物，但“文王作卦辞”是传统作者谱系，现代研究无法逐句证实。卦辞属于早期周代占筮文本的长期形成与编定过程；本节点明确记录传统归属，而非可证的文王个人言论。,legendary-founders-2026-07-15-a,2026-07-17
duke-zhou-textual-image-bright-virtue-cautious-punishment,duke-zhou,position,-1040,1,true,politics-governance;ritual-law;ethics-cultivation,canonical,source-reviewed,bilingual-reviewed,reviewed,published,duke-zhou-textual-image-bright-virtue-cautious-punishment,周公是传统人物而非传说神祇，但《康诰》的说话者、成篇过程和后世编定层次仍有争论；篇章可能保存西周早期语言与政治观念，不能据此证明引文是周公逐字原话或亲笔。,legendary-founders-2026-07-15-a,2026-07-17
guan-zhong-material-security-moral-order,guan-zhong,position,-680,1,true,politics-governance;society-world;ethics-cultivation,canonical,source-reviewed,bilingual-reviewed,reviewed,published,guan-zhong-material-security-moral-order,《管子》是多层累积的管仲学派文献，不能把《牧民》逐字视为管仲亲笔；节点按传统代表人物归属并标明学派编纂性质。,classical-2-2026-07-14-a,2026-07-17
laozi-language-dao,laozi,position,-550,1,true,tiandao-metaphysics;names-language,canonical,source-reviewed,bilingual-reviewed,reviewed,published,laozi-language-dao,,phase1-editorial,2026-07-13
laozi-wuwei-transformation,laozi,position,-550,2,true,tiandao-metaphysics;politics-governance,canonical,source-reviewed,bilingual-reviewed,reviewed,published,laozi-wuwei-transformation,,phase1-editorial,2026-07-13
laozi-model-naturalness,laozi,position,-550,3,true,tiandao-metaphysics;nature-technology,canonical,source-reviewed,bilingual-reviewed,reviewed,published,laozi-model-naturalness,,phase1-editorial,2026-07-13
laozi-reversal-dao,laozi,position,-550,4,false,tiandao-metaphysics,canonical,source-reviewed,bilingual-reviewed,reviewed,published,laozi-reversal-dao,,phase1-editorial,2026-07-14
laozi-softness-overcomes,laozi,position,-550,5,false,tiandao-metaphysics;politics-governance;nature-technology,canonical,source-reviewed,bilingual-reviewed,reviewed,published,laozi-softness-overcomes,,phase1-editorial,2026-07-14
laozi-contentment,laozi,position,-550,6,false,ethics-cultivation,canonical,source-reviewed,bilingual-reviewed,reviewed,published,laozi-contentment,,phase1-editorial,2026-07-14
